"ScanNumber, ScanName, ScanPointNumber, corr_Xcoord in mm per BX, corr_Ycoord in mm per BX"
Scan_1
2,Y2,9,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0015742512830132771, '1783': -0.0015677054208402864, '872': -0.0015020664898672332, '2063': -0.0015533464128231009, '41': -0.0015246191498603512}"
2,Y2,10,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0014633350753045318, '1783': -0.0014790363278425888, '872': -0.0013976209265645896, '2063': -0.0014308536983534963, '41': -0.001402083385368626}"
2,Y2,11,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.0011524413229399794, '1783': -0.0011797807359716314, '872': -0.0011017500739848502, '2063': -0.0011176718225821025, '41': -0.0010941491940980313}"
2,Y2,12,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': -0.00064028001670095834, '1783': -0.00066111092176078935, '872': -0.0006125358516265168, '2063': -0.0006174726350535527, '41': -0.00060419126241910057}"
2,Y2,13,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
2,Y2,14,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.000640248590874249, '1783': 0.00066108263217875066, '872': 0.00061250704354213353, '2063': 0.00061744627161994432, '41': 0.00060416278049695211}"
2,Y2,15,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0011525215457276537, '1783': 0.0011798628484159326, '872': 0.0011018186641195897, '2063': 0.0011177537137104707, '41': 0.0010942374883655267}"
2,Y2,16,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.001463404421427656, '1783': 0.0014791064951981752, '872': 0.0013976752192748102, '2063': 0.0014309161522897003, '41': 0.0014021758810359899}"
2,Y2,17,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0015741188440239894, '1783': 0.0015675688059599868, '872': 0.0015019186154572059, '2063': 0.0015532123579895807, '41': 0.0015245230213239199}"
2,Y2,18,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0015383423261663806, '1783': 0.0015100102369806679, '872': 0.0014666897574441803, '2063': 0.0015302722184956825, '41': 0.0015057130583101643}"
2,Y2,19,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.00142396604189402, '1783': 0.0013812626199157772, '872': 0.0013572023494456229, '2063': 0.0014244958335996618, '41': 0.0014061714331831277}"
2,Y2,20,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0012848334891410139, '1783': 0.0012360282668633356, '872': 0.0012247334293092322, '2063': 0.0012886072844345499, '41': 0.0012768043806670923}"
2,Y2,21,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0011509787526202014, '1783': 0.0011018072795088121, '872': 0.0010976195975452834, '2063': 0.0011543556686644104, '41': 0.0011481500134719398}"
2,Y2,22,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.0010340205207092499, '1783': 0.00098724893980555177, '872': 0.00098665195782582631, '2063': 0.0010354565329586758, '41': 0.0010335108172953166}"
2,Y2,23,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.00093568941606788042, '1783': 0.00089215785426923985, '872': 0.0008933311784095774, '2063': 0.00093503264598320413, '41': 0.00093607701221532901}"
2,Y2,24,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.00085337753359014548, '1783': 0.00081305355758299041, '872': 0.00081514248559811037, '2063': 0.00085104995276655531, '41': 0.00085407825223688153}"
2,Y2,25,"{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}","{'281': 0.00078397771405301132, '1783': 0.00074657359902144708, '872': 0.00074916550851654657, '2063': 0.00078049452582246777, '41': 0.0007847851325483231}"
Scan_4
4,X4,1,"{'281': -0.00085241824807519588, '1783': -0.0008111410995597704, '872': -0.00081568894894730589, '2063': -0.00084134139994461671, '41': -0.00085778555012427969}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,2,"{'281': -0.00093041523339791859, '1783': -0.00088563043952779523, '872': -0.00089011264150195603, '2063': -0.00091855791092907357, '41': -0.00093680856840115028}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,3,"{'281': -0.0010235520041403585, '1783': -0.00097462047022985965, '872': -0.00097885073401464732, '2063': -0.0010108379890505876, '41': -0.0010308906250992859}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,4,"{'281': -0.0011350414091459724, '1783': -0.0010811535034226675, '872': -0.0010847841709642765, '2063': -0.001121404787385989, '41': -0.0011425291405491058}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,5,"{'281': -0.0012662572642651586, '1783': -0.0012064441952770683, '872': -0.001208861743742848, '2063': -0.0012516596628105109, '41': -0.0012715620388028524}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,6,"{'281': -0.0014132264418259522, '1783': -0.0013464819885860302, '872': -0.0013467829563877088, '2063': -0.0013976911935570239, '41': -0.0014116322463928804}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,7,"{'281': -0.0015594285802793264, '1783': -0.0014852236992852156, '872': -0.0014823268610587457, '2063': -0.0015431199582476042, '41': -0.0015438595209836762}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,8,"{'281': -0.0016691920708242955, '1783': -0.0015885323587061686, '872': -0.0015815826727826666, '2063': -0.0016525505721558555, '41': -0.0016325001030317928}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,9,"{'281': -0.0016857739065040747, '1783': -0.0016025675548725312, '872': -0.0015916442153391692, '2063': -0.001669637817084809, '41': -0.00162563452448315}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
4,X4,10,"{'281': -0.0015446088494357054, '1783': -0.001466622158690499, '872': -0.0014534062705214526, '2063': -0.00153027749889533, '41': -0.0014688666940407861}","{'281': 0.0, '1783': 0.0, '872': 0.0, '2063': 0.0, '41': 0.0}"
