fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,atlas_totInst
5710,295192,3,60,1495760897,746,1,9,3,32,ACQUIRING,MIXED,10,0.0142165571451,0.0111869238317,0.0268116760999,-0.0111869238317,-0.0268116760999,0.00710827857256,0.0,-0.00710827857256,-0.0,0
5710,295192,3,64,1495760899,159,1,9,3,32,ACQUIRING,MIXED,9,0.0142165571451,0.0111869238317,0.0268116760999,-0.0111869238317,-0.0268116760999,0.00710827857256,0.0,-0.00710827857256,-0.0,0
5710,295192,4,4,1495760900,677,1,9,3,32,ACQUIRING,MIXED,7,0.0142165571451,0.0111869238317,0.0268116760999,-0.0111869238317,-0.0268116760999,0.00710827857256,0.0,-0.00710827857256,-0.0,0
5710,295192,4,8,1495760902,87,1,9,3,32,ACQUIRING,MIXED,6,0.0142165571451,0.0111869238317,0.0268116760999,-0.0111869238317,-0.0268116760999,0.00710827857256,0.0,-0.00710827857256,-0.0,0
5710,295192,4,12,1495760903,508,1,9,3,32,ACQUIRING,MIXED,5,0.0142165571451,0.0111869238317,0.0268116760999,-0.0111869238317,-0.0268116760999,0.00710827857256,0.0,-0.00710827857256,-0.0,0
5710,295192,4,16,1495760905,26,1,9,3,32,ACQUIRING,MIXED,3,0.0142165571451,0.0111869238317,0.0268116760999,-0.0111869238317,-0.0268116760999,0.00710827857256,0.0,-0.00710827857256,-0.0,0
5710,295192,4,20,1495760906,439,1,9,3,32,ACQUIRING,MIXED,2,0.0142165571451,0.0111869238317,0.0268116760999,-0.0111869238317,-0.0268116760999,0.00710827857256,0.0,-0.00710827857256,-0.0,0
5710,295192,4,44,1495760915,219,1,11,3,32,ACQUIRING,MIXED,9,0.0284331142902,0.0182952024043,0.0268116760999,-0.0182952024043,-0.0268116760999,0.0142165571451,0.0,-0.0142165571451,-0.0,0
5710,295192,4,48,1495760916,633,1,11,3,32,ACQUIRING,MIXED,8,0.0284331142902,0.0182952024043,0.0268116760999,-0.0182952024043,-0.0268116760999,0.0142165571451,0.0,-0.0142165571451,-0.0,0
5710,295192,4,52,1495760918,147,1,11,3,32,ACQUIRING,MIXED,6,0.0284331142902,0.0182952024043,0.0268116760999,-0.0182952024043,-0.0268116760999,0.0142165571451,0.0,-0.0142165571451,-0.0,0
